,open,high,low,close,volume
2014-10-17 15:00:00,780.67,782.99,780.67,782.99,55044.0
2014-10-20 09:45:00,785.32,786.09,782.22,782.99,79173.0
2014-10-20 10:00:00,782.99,785.32,781.45,782.99,63780.0
2014-10-20 10:15:00,782.99,783.77,780.67,782.22,71496.0
2014-10-20 10:30:00,782.99,783.77,782.22,782.99,39974.0
2014-10-20 10:45:00,782.99,783.77,782.22,782.22,26601.0
2014-10-20 11:00:00,782.99,783.77,782.22,782.99,23105.0
2014-10-20 11:15:00,782.99,783.77,781.45,782.22,26434.0
2014-10-20 11:30:00,781.45,782.99,781.45,782.22,27861.0
2014-10-20 13:15:00,782.22,783.77,782.22,782.99,24743.0
2014-10-20 13:30:00,782.22,782.99,781.45,782.22,19322.0
2014-10-20 13:45:00,782.22,783.77,782.22,782.99,48591.0
2014-10-20 14:00:00,782.99,783.77,781.45,781.45,39634.0
2014-10-20 14:15:00,782.22,788.41,781.45,788.41,130490.0
2014-10-20 14:30:00,787.64,788.41,786.09,786.86,89581.0
2014-10-20 14:45:00,787.64,787.64,786.09,786.86,31699.0
2014-10-20 15:00:00,786.09,786.86,785.32,786.86,47440.0
2014-10-21 09:45:00,784.54,786.09,782.22,782.99,55242.0
2014-10-21 10:00:00,782.99,786.09,782.22,782.99,50969.0
2014-10-21 10:15:00,782.99,783.77,781.45,782.22,70439.0
2014-10-21 10:30:00,782.22,783.77,781.45,782.22,47969.0
2014-10-21 10:45:00,782.22,782.99,779.9,782.22,60114.0
2014-10-21 11:00:00,781.45,782.99,781.45,782.22,18507.0
2014-10-21 11:15:00,782.22,782.99,781.45,782.22,16560.0
2014-10-21 11:30:00,782.22,782.22,780.67,780.67,32353.0
2014-10-21 13:15:00,780.67,781.45,780.67,780.67,27616.0
2014-10-21 13:30:00,780.67,781.45,779.9,780.67,29710.0
2014-10-21 13:45:00,780.67,781.45,779.13,779.13,57837.0
2014-10-21 14:00:00,779.13,781.45,779.13,780.67,35362.0
2014-10-21 14:15:00,780.67,781.45,779.9,780.67,16036.0
2014-10-21 14:30:00,779.9,780.67,779.13,779.9,39558.0
2014-10-21 14:45:00,779.13,780.67,779.13,779.9,24896.0
2014-10-21 15:00:00,779.9,780.67,779.9,780.67,45397.0
2014-10-22 09:45:00,779.9,781.45,778.35,779.9,47393.0
2014-10-22 10:00:00,779.13,781.45,779.13,781.45,28552.0
2014-10-22 10:15:00,780.67,781.45,779.9,780.67,22290.0
2014-10-22 10:30:00,780.67,782.22,779.9,780.67,23702.0
2014-10-22 10:45:00,781.45,782.22,780.67,781.45,15519.0
2014-10-22 11:00:00,781.45,782.22,779.9,781.45,17863.0
2014-10-22 11:15:00,781.45,788.41,780.67,785.32,199288.0
2014-10-22 11:30:00,786.09,787.64,785.32,785.32,77611.0
2014-10-22 13:15:00,786.09,786.09,784.54,785.32,30049.0
2014-10-22 13:30:00,784.54,785.32,781.45,782.22,42243.0
2014-10-22 13:45:00,782.22,782.99,781.45,782.22,21443.0
2014-10-22 14:00:00,781.45,782.22,779.9,781.45,47720.0
2014-10-22 14:15:00,780.67,782.22,779.9,781.45,28792.0
